Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR362PBD,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 kidney postnatal (0 days),kidney,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CVI,ENCODE2,Thomas Gingeras,,,,vein endothelial cell male adult (48 years) and male adult (52 years),vein endothelial cell,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,primary cell,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR754WLW,ENCODE3,Thomas Gingeras,,,,adrenal gland female adult (53 years),adrenal gland,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/4/16,"August, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR094TTT,ENCODE3,Bing Ren,,H3K27ac,Hist2h3c1,C57BL/6 forebrain postnatal (0 days),forebrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CTC,ENCODE2,Thomas Gingeras,,,,SK-N-SH nuclear fraction,SK-N-SH,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR000EUS,ENCODE2,Michael Snyder,,H3K4me1,HIST2H3C,HCT116,HCT116,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,6/15/12,"June, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR672UQX,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 intestine postnatal (0 days),intestine,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,2/18/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000COC,ENCODE2-Mouse,John Stamatoyannopoulos,,,,"C57BL/6 CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (8 weeks)","CD4-positive, CD25-positive, alpha-beta regulatory T cell","John Stamatoyannopoulos, UW",ENCODE,Mus musculus,primary cell,9/7/12,"September, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000AQS,ENCODE2,Bradley Bernstein,,H3K27me3,HIST2H3C,osteoblast,osteoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000AKL,ENCODE2,Bradley Bernstein,,H3K4me1,HIST2H3C,endothelial cell of umbilical vein newborn,endothelial cell of umbilical vein,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000BSR,ENCODE2,Richard Myers,,CEBPB,CEBPB,MCF-7,MCF-7,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/10/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BEZ,ENCODE2,Gregory Crawford,,,,urothelium cell line treated with UT189,urothelium cell line,"Gregory Crawford, Duke",ENCODE,Homo sapiens,immortalized cell line,4/4/12,"April, 2012",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR819PCU,ENCODE3,Michael Snyder,,SETDB1,SETDB1,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/18/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,transcription factor
ENCSR222SMI,ENCODE3,Brenton Graveley,,RBM27,RBM27,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000CJU,ENCODE2,Thomas Gingeras,,,,SK-N-SH treated with all-trans-retinoic acid,SK-N-SH,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,immortalized cell line,12/22/11,"December, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR586SYA,ENCODE3,Thomas Gingeras,,,,body of pancreas female adult (53 years),body of pancreas,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,2/18/16,"February, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR685JXU,ENCODE3,Brenton Graveley,,RCC2,RCC2,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000CLT,ENCODE2-Mouse,John Stamatoyannopoulos,,,,C57BL/6 brain male embryo (18.5 days),brain,"John Stamatoyannopoulos, UW",ENCODE,Mus musculus,tissue,7/10/12,"July, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR082YGI,ENCODE3,Brenton Graveley,,RPLP0,RPLP0,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000FCT,ENCODE2,Michael Snyder,,H3K9me3,HIST2H3C,SK-N-SH,SK-N-SH,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR282GAG,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 stomach embryo (15.5 days),stomach,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EEJ,ENCODE2,Michael Snyder,,IRF3,IRF3,HepG2,HepG2,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR203KEU,ENCODE3,Michael Snyder,,H3K27ac,HIST2H3C,RWPE1,RWPE1,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,3/3/17,"March, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR067AUG,ENCODE3,Brenton Graveley,,DDX59,DDX59,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR661KMA,ENCODE3,Bradley Bernstein,,H3K27ac,HIST2H3C,HCT116,HCT116,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,11/18/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CIY,ENCODE2,Thomas Gingeras,,,,HepG2 nuclear fraction,HepG2,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,immortalized cell line,12/22/11,"December, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR000CIV,ENCODE2,Thomas Gingeras,,,,endothelial cell of umbilical vein cytosolic fraction male newborn,endothelial cell of umbilical vein,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,primary cell,3/23/11,"March, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR537ICK,ENCODE2,John Stamatoyannopoulos,,,,BG02ES S1 phase,BG02ES,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,stem cell,2/14/12,"February, 2012",Replication timing,Repli-seq,Repli-seq,Repli-seq
ENCSR750HRE,ENCODE2,John Stamatoyannopoulos,,,,foreskin fibroblast S2 phase male newborn,foreskin fibroblast,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,2/14/12,"February, 2012",Replication timing,Repli-seq,Repli-seq,Repli-seq
ENCSR703BOK,ENCODE2,John Stamatoyannopoulos,,,,GM12878 G2 phase,GM12878,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,2/14/12,"February, 2012",Replication timing,Repli-seq,Repli-seq,Repli-seq
ENCSR121INC,ENCODE3,Bradley Bernstein,,H3K9ac,HIST2H3C,SK-N-SH,SK-N-SH,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,1/12/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EQH,ENCODE2,John Stamatoyannopoulos,,,,T-helper 2 cell female adult (26 years),T-helper 2 cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,7/23/12,"July, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR789RPP,ENCODE3,Richard Myers,,,,C57BL/6JxCAST/EiJ Purkinje cell male adult (14 months),Purkinje cell,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR292IVH,ENCODE3,Richard Myers,,,,C57BL/6JxCAST/EiJ Purkinje cell male adult (14 months),Purkinje cell,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR689MIY,ENCODE3,Brenton Graveley,,UPF1,UPF1,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,9/29/16,"September, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR721CNY,ENCODE3,Brenton Graveley,,DGCR8,DGCR8,K562 genetically modified using CRISPR,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,3/23/16,"March, 2016",Transcription,Knockdown RNAseq,CRISPR RNA-seq,RNA binding protein
ENCSR582IBX,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 embryonic facial prominence embryo (12.5 days),embryonic facial prominence,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,3/30/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR295XKC,ENCODE3,Brenton Graveley,,GTF2F1,GTF2F1,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR943QUH,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 limb embryo (12.5 days),limb,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,3/30/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EBY,ENCODE2,Michael Snyder,,MYC,MYC,H1-hESC,H1-hESC,"Michael Snyder, Stanford",ENCODE,Homo sapiens,stem cell,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR896CFV,ENCODE3,Brenton Graveley,,SF3B1,SF3B1,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,9/29/16,"September, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR380UPB,ENCODE3,Michael Snyder,,H3K4me2,HIST2H3C,GM19238,GM19238,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,12/2/16,"December, 2016",3D chromatin structure,ChIA-PET,ChIA-PET,ChIA-PET
ENCSR891AXF,ENCODE3,Brenton Graveley,,SSB,SSB,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR860OEN,ENCODE3,Richard Myers,,,,C57BL/6 liver postnatal (0 days),liver,"Ali Mortazavi, UCI",ENCODE,Mus musculus,tissue,11/24/15,"November, 2015",Transcription,microRNA counts,microRNA counts,microRNA counts
ENCSR823TEV,ENCODE3,Michael Snyder,,H3K4me1,HIST2H3C,GM19238,GM19238,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/27/16,"September, 2016",3D chromatin structure,ChIA-PET,ChIA-PET,ChIA-PET
ENCSR000EUG,ENCODE2-Mouse,Michael Snyder,,GATA1,Gata1,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,9/19/11,"September, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR466TGH,ENCODE3,Brenton Graveley,,DGCR8,DGCR8,K562 genetically modified using CRISPR,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,3/23/16,"March, 2016",Transcription,Knockdown RNAseq,CRISPR RNA-seq,RNA binding protein
ENCSR920ASP,ENCODE3,Michael Snyder,,eGFP-ZFX,ZFX,K562 genetically modified using CRISPR,K562,"Kevin White, UChicago",ENCODE,Homo sapiens,immortalized cell line,6/13/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR637EFF,ENCODE3,Brenton Graveley,,CEBPZ,CEBPZ,K562 genetically modified using CRISPR,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,3/17/16,"March, 2016",Transcription,Knockdown RNAseq,CRISPR RNA-seq,RNA binding protein
ENCSR000CZT,ENCODE2,John Stamatoyannopoulos,,,,dermis microvascular lymphatic vessel endothelial cell female,dermis microvascular lymphatic vessel endothelial cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,4/1/11,"April, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR299CAV,ENCODE3,Michael Snyder,,POLR2A,POLR2A,breast epithelium female adult (53 years),breast epithelium,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,10/25/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR472VBD,ENCODE3,Michael Snyder,,POLR2A,POLR2A,sigmoid colon male adult (54 years),sigmoid colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,10/25/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CIO,ENCODE2,Thomas Gingeras,,,,K562 nucleolus fraction,K562,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,immortalized cell line,12/22/11,"December, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR813BDU,ENCODE3,Brenton Graveley,,,,HepG2 insoluble cytoplasmic fraction,HepG2,"Eric Lécuyer, IRCM",ENCODE,Homo sapiens,immortalized cell line,4/21/16,"April, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR000EBU,ENCODE2,Michael Snyder,,CHD1,CHD1,H1-hESC,H1-hESC,"Michael Snyder, Stanford",ENCODE,Homo sapiens,stem cell,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000AQT,ENCODE2,Bradley Bernstein,,H4K20me1,HIST2H4A,osteoblast,osteoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ATU,ENCODE2,Bradley Bernstein,,CBX2,CBX2,K562,K562,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,8/6/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR483KOD,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 intestine postnatal (0 days),intestine,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR012DAF,ENCODE3,Brenton Graveley,,APOBEC3C,APOBEC3C,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,8/18/15,"August, 2015",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR080HPT,ENCODE3,Thomas Gingeras,,,,omental fat pad male adult (54 years),omental fat pad,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,2/18/16,"February, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR118VQR,ENCODE3,Brenton Graveley,,RPS3A,RPS3A,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,8/18/15,"August, 2015",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000EYM,ENCODE2,Scott Tenenbaum,,ELAVL1,ELAVL1,K562,K562,"Scott Tenenbaum, SUNY-Albany",ENCODE,Homo sapiens,immortalized cell line,2/14/11,"February, 2011",RNA binding,RIP-chip,RIP-chip,RNA binding protein
ENCSR922CAT,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9,mid-neurogenesis radial glial cells,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,5/20/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR945UYL,ENCODE3,Brenton Graveley,,G3BP2,G3BP2,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000CTF,ENCODE2,Thomas Gingeras,,,,IMR-90 cytosolic fraction female embryo (16 weeks),IMR-90,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,primary cell,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR958KSY,ENCODE3,Brenton Graveley,,AKAP8,AKAP8,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,2/11/16,"February, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR259KYK,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 hindbrain embryo (15.5 days),hindbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR241BSK,ENCODE3,Bing Ren,,H3K27ac,Hist2h3c1,C57BL/6 neural tube embryo (15.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR058OSL,ENCODE3,Brenton Graveley,,,,HepG2 nuclear fraction,HepG2,"Eric Lécuyer, IRCM",ENCODE,Homo sapiens,immortalized cell line,4/21/16,"April, 2016",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000BSV,ENCODE2,Richard Myers,,NFIC,NFIC,SK-N-SH,SK-N-SH,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/10/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR223FDX,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 neural tube embryo (14.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,3/17/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR382AIB,ENCODE3,Michael Snyder,,eGFP-DDX20,DDX20,K562 genetically modified using stable transfection,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,2/16/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR435NHO,ENCODE3,John Stamatoyannopoulos,,,,embryonic facial prominence embryo (53 days) and embryo (58 days),embryonic facial prominence,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,tissue,5/9/16,"May, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000ASF,ENCODE2,Bradley Bernstein,,H3K79me2,HIST2H3C,fibroblast of lung female child (11 year) and male adult (45 years),fibroblast of lung,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DPP,ENCODE2,John Stamatoyannopoulos,,CTCF,CTCF,fibroblast of pedal digit skin female adult (21 year),fibroblast of pedal digit skin,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,3/17/11,"March, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BJJ,ENCODE2,Richard Myers,,REST,REST,SK-N-SH,SK-N-SH,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EVF,ENCODE2,Michael Snyder,,TCF7L2,TCF7L2,HeLa-S3,HeLa-S3,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR924TVL,ENCODE3,Michael Snyder,,RFX5,RFX5,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BVA,ENCODE2,Richard Myers,,SRF,SRF,MCF-7,MCF-7,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/10/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR226QQM,ENCODE3,Richard Myers,,FLAG-NFIA,NFIA,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR906PCS,ENCODE3,Michael Snyder,,eGFP-ZNF223,ZNF223,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,12/19/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CFZ,ENCODE2-Mouse,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 ES-Bruce4,ES-Bruce4,"Bing Ren, UCSD",ENCODE,Mus musculus,stem cell,9/5/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR221GAN,ENCODE3,Richard Myers,,MBD2,MBD2,K562,K562,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,6/28/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR786DTS,ENCODE3,Thomas Gingeras,,,,SK-N-DZ treated with dimethyl sulfoxide,SK-N-DZ,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR000DSH,ENCODE2,John Stamatoyannopoulos,,H3K36me3,HIST2H3C,cardiac mesoderm,cardiac mesoderm,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,in vitro differentiated cells,2/16/12,"February, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR545BRW,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 midbrain embryo (11.5 days),midbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR158ONM,ENCODE3,Bing Ren,,H3K4me3,Hist2h3c1,C57BL/6 hindbrain embryo (12.5 days),hindbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,3/30/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR632SHZ,ENCODE3,Michael Snyder,,eGFP-NFE2L1,NFE2L1,K562 genetically modified using stable transfection,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,3/2/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR554JQP,ENCODE3,Richard Myers,,,,C57BL/6 cerebellum adult,cerebellum,"Barbara Wold, Caltech",ENCODE,Mus musculus,tissue,10/9/17,"October, 2017",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR778WPL,ENCODE3,Brenton Graveley,,HNRNPAB,HNRNPAB,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,1/12/16,"January, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR441JWF,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,PC-9,PC-9,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,5/6/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ARP,ENCODE2,Bradley Bernstein,,H2AFZ,H2AFZ,fibroblast of lung female child (11 year) and male adult (45 years),fibroblast of lung,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EPD,ENCODE2,John Stamatoyannopoulos,,,,myocyte originated from LHCN-M2,myocyte,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,in vitro differentiated cells,6/12/12,"June, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR587ASA,ENCODE3,Bing Ren,,,,C57BL/6 embryonic facial prominence embryo (13.5 days),embryonic facial prominence,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,8/18/15,"August, 2015",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR000BIM,ENCODE2,Richard Myers,,TAF1,TAF1,GM12891,GM12891,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR996GHD,ENCODE3,Bradley Bernstein,,H3K9ac,HIST2H3C,OCI-LY3,OCI-LY3,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR548KIL,ENCODE3,Michael Snyder,,,,adrenal gland male adult (37 years),adrenal gland,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,10/31/16,"October, 2016",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR075IID,ENCODE2,John Stamatoyannopoulos,,,,foreskin fibroblast S3 phase male newborn,foreskin fibroblast,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,2/14/12,"February, 2012",Replication timing,Repli-seq,Repli-seq,Repli-seq
ENCSR852QFP,ENCODE2,John Stamatoyannopoulos,,,,foreskin fibroblast S4 phase male newborn,foreskin fibroblast,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,2/14/12,"February, 2012",Replication timing,Repli-seq,Repli-seq,Repli-seq
ENCSR091GVJ,ENCODE3,Michael Snyder,,eGFP-ATF1,ATF1,K562 genetically modified using stable transfection originated from K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,1/14/16,"January, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
